video_id,text,start,duration,lang
H2m2qOlhfxs,kind captions language en,0.0,1.0,en
H2m2qOlhfxs,music,1.0,1.0,en
H2m2qOlhfxs,home mortgage loans are financial,2.0,1.0,en
H2m2qOlhfxs,home mortgage loans are financial,3.0,1.0,en
H2m2qOlhfxs,home mortgage loans are financial instruments that allow individuals to,4.0,1.0,en
H2m2qOlhfxs,instruments that allow individuals to,5.0,1.0,en
H2m2qOlhfxs,instruments that allow individuals to purchase a home without paying the full,6.0,1.0,en
H2m2qOlhfxs,purchase a home without paying the full,7.0,1.0,en
H2m2qOlhfxs,purchase a home without paying the full price upfront instead borrowers secure a,8.0,1.0,en
H2m2qOlhfxs,price upfront instead borrowers secure a,9.0,1.0,en
H2m2qOlhfxs,price upfront instead borrowers secure a loan from a lender such as a bank or,10.0,1.0,en
H2m2qOlhfxs,loan from a lender such as a bank or,11.0,1.0,en
H2m2qOlhfxs,loan from a lender such as a bank or mortgage company and repay it over time,12.0,1.0,en
H2m2qOlhfxs,mortgage company and repay it over time,13.0,1.0,en
H2m2qOlhfxs,mortgage company and repay it over time with interest mortgages make,14.0,1.0,en
H2m2qOlhfxs,with interest mortgages make,15.0,1.0,en
H2m2qOlhfxs,with interest mortgages make homeownership more accessible by,16.0,1.0,en
H2m2qOlhfxs,homeownership more accessible by,17.0,1.0,en
H2m2qOlhfxs,homeownership more accessible by spreading payments over several years,18.0,1.0,en
H2m2qOlhfxs,spreading payments over several years,19.0,1.0,en
H2m2qOlhfxs,spreading payments over several years typically ranging from to,20.0,1.0,en
H2m2qOlhfxs,years the ability to find finance a home,21.0,1.0,en
H2m2qOlhfxs,years the ability to find finance a home,22.0,1.0,en
H2m2qOlhfxs,years the ability to find finance a home purchase through a mortgage is one of,23.0,1.0,en
H2m2qOlhfxs,purchase through a mortgage is one of,24.0,1.0,en
H2m2qOlhfxs,purchase through a mortgage is one of the most significant advantages of,25.0,1.0,en
H2m2qOlhfxs,the most significant advantages of,26.0,1.0,en
H2m2qOlhfxs,the most significant advantages of modern financial systems enabling people,27.0,1.0,en
H2m2qOlhfxs,modern financial systems enabling people,28.0,1.0,en
H2m2qOlhfxs,modern financial systems enabling people to invest in real estate while,29.0,1.0,en
H2m2qOlhfxs,to invest in real estate while,30.0,1.0,en
H2m2qOlhfxs,to invest in real estate while maintaining financial,31.0,1.0,en
H2m2qOlhfxs,maintaining financial,32.0,1.0,en
H2m2qOlhfxs,maintaining financial music,33.0,1.0,en
H2m2qOlhfxs,music,34.0,1.0,en
H2m2qOlhfxs,music flexibility one of the primary benefits,35.0,1.0,en
H2m2qOlhfxs,flexibility one of the primary benefits,36.0,1.0,en
H2m2qOlhfxs,flexibility one of the primary benefits of a home mortgage loan is,37.0,1.0,en
H2m2qOlhfxs,of a home mortgage loan is,38.0,1.0,en
H2m2qOlhfxs,of a home mortgage loan is affordability most people do not have,39.0,1.0,en
H2m2qOlhfxs,affordability most people do not have,40.0,1.0,en
H2m2qOlhfxs,affordability most people do not have the liquidity to buy a home outright and,41.0,1.0,en
H2m2qOlhfxs,the liquidity to buy a home outright and,42.0,1.0,en
H2m2qOlhfxs,the liquidity to buy a home outright and a mortgage allows them to acquire,43.0,1.0,en
H2m2qOlhfxs,a mortgage allows them to acquire,44.0,1.0,en
H2m2qOlhfxs,a mortgage allows them to acquire property without needing a large upfront,45.0,1.0,en
H2m2qOlhfxs,property without needing a large upfront,46.0,1.0,en
H2m2qOlhfxs,property without needing a large upfront sum this enables individuals and,47.0,1.0,en
H2m2qOlhfxs,sum this enables individuals and,48.0,1.0,en
